AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,ObjectId
2664,POLICE MAJOR                       ,M,W ,50 - 59,57,TRAINING                                               ,STAFF                                                  ,33,485
2665,POLICE SERGEANT                    ,F,W ,OVER 60,63,PROPERTY ROOM SECTION                                  ,CRIMES AGAINST CHILDREN                                ,33,486
2666,POLICE MAJOR                       ,M,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,33,487
2667,DEPUTY POLICE CHIEF                ,M,W ,50 - 59,56,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,33,488
2668,POLICE SERGEANT                    ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,33,489
2669,POLICE OFFICER                     ,M,B ,40 - 49,45,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,18,490
2670,POLICE OFFICER                     ,M,W ,OVER 60,63,5TH DIVISION                                           ,2ND PLATOON                                            ,33,491
2671,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,122,492
2672,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,33,493
2673,POLICE OFFICER                     ,M,B ,OVER 60,67,5TH DIVISION                                           ,1ST PLATOON                                            ,5,494
2674,POLICE OFFICER                     ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,33,495
2675,POLICE LIEUTENANT                  ,M,B ,50 - 59,58,SUPPORT BUREAU                                         ,STAFF                                                  ,34,496
2676,POLICE OFFICER                     ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,33,497
2677,POLICE OFFICER                     ,F,W ,40 - 49,48,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,21,498
2678,POLICE OFFICER                     ,F,W ,50 - 59,57,CANINE UNIT                                            ,MOUNTED PATROL                                         ,24,499
2679,POLICE LIEUTENANT                  ,M,B ,50 - 59,58,FORMER EMPLOYEE                                        ,,34,500
2680,POLICE SERGEANT                    ,F,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,33,501
2681,POLICE OFFICER                     ,M,W ,50 - 59,53,TRAINING                                               ,BASIC ACADEMY                                          ,21,502
2682,POLICE SERGEANT                    ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,33,503
2684,POLICE OFFICER                     ,F,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,33,504
2685,POLICE OFFICER                     ,F,B ,50 - 59,55,SPECIAL OPERATIONS                                     ,COMMUNITY ENGAGEMENT UNIT                              ,33,505
2686,POLICE SERGEANT                    ,M,W ,40 - 49,45,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,21,506
2687,POLICE MAJOR                       ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,122,507
2688,POLICE OFFICER                     ,M,W ,OVER 60,61,4TH DIVISION                                           ,2ND PLATOON                                            ,33,508
2689,POLICE OFFICER                     ,M,W ,50 - 59,57,1ST DIVISION                                           ,HALO/DRO                                               ,33,509
2690,POLICE OFFICER                     ,F,B ,50 - 59,57,FORMER EMPLOYEE                                        ,,33,510
2691,POLICE LIEUTENANT                  ,M,W ,50 - 59,58,NARCOTICS                                              ,FUGITIVE APPREHENSION SQUAD                            ,33,511
2692,POLICE OFFICER                     ,M,W ,OVER 60,67,3RD DIVISION                                           ,1ST PLATOON                                            ,33,512
2693,POLICE SERGEANT                    ,F,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,33,513
2694,POLICE OFFICER                     ,M,W ,OVER 60,60,FORMER EMPLOYEE                                        ,,33,514
2695,POLICE OFFICER                     ,M,A ,40 - 49,49,FORMER EMPLOYEE                                        ,,20,515
2696,POLICE OFFICER                     ,F,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,33,516
2697,POLICE OFFICER                     ,F,B ,50 - 59,56,FORMER EMPLOYEE                                        ,,33,517
2698,POLICE OFFICER                     ,M,W ,40 - 49,49,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,19,518
2699,POLICE OFFICER                     ,F,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,33,519
2701,POLICE SERGEANT                    ,M,W ,50 - 59,59,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,33,520
2702,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,33,521
2703,POLICE OFFICER                     ,F,W ,50 - 59,57,1ST DIVISION                                           ,HALO/DRO                                               ,33,522
2706,POLICE OFFICER                     ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,33,523
2766,POLICE OFFICER                     ,M,W ,50 - 59,55,7TH DIVISION                                           ,2ND PLATOON                                            ,31,524
2933,POLICE OFFICER                     ,M,W ,40 - 49,49,5TH DIVISION                                           ,1ST PLATOON                                            ,27,525
2878,POLICE OFFICER                     ,M,W ,50 - 59,55,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,28,526
2988,POLICE OFFICER                     ,F,W ,50 - 59,50,8TH DIVISION                                           ,2ND PLATOON                                            ,26,527
2828,POLICE LIEUTENANT                  ,F,W ,50 - 59,55,CIS ROBBERY                                            ,STAFF                                                  ,30,528
2533,POLICE OFFICER                     ,M,W ,OVER 60,74,TRAFFIC                                                ,1ST PLATOON                                            ,48,529
2879,POLICE OFFICER                     ,M,W ,50 - 59,51,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,28,530
2989,POLICE OFFICER                     ,M,W ,OVER 60,62,1ST DIVISION                                           ,3RD PLATOON                                            ,26,531
2767,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,31,532
2934,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,NARCOTICS                                              ,STAFF                                                  ,27,533
2829,POLICE SERGEANT                    ,M,W ,50 - 59,56,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,30,534
2534,POLICE CHIEF                       ,M,B ,OVER 60,70,CHIEF`S STAFF                                          ,STAFF                                                  ,19,535
2535,POLICE SERGEANT                    ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,19,536
2536,POLICE SERGEANT                    ,M,W ,OVER 60,71,FORMER EMPLOYEE                                        ,,122,537
2539,POLICE OFFICER                     ,F,W ,40 - 49,48,FORMER EMPLOYEE                                        ,,23,538
2540,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,21,539
2541,POLICE SERGEANT                    ,M,W ,40 - 49,47,COMMUNITY POLICING UNIT                                ,STAFF                                                  ,23,540
2543,POLICE SERGEANT                    ,M,W ,50 - 59,53,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,18,541
2544,POLICE SERGEANT                    ,F,W ,50 - 59,52,FORMER EMPLOYEE                                        ,,20,542
2547,POLICE OFFICER                     ,M,B ,50 - 59,50,7TH DIVISION                                           ,1ST PLATOON                                            ,18,543
2551,POLICE MAJOR                       ,M,W ,40 - 49,46,1ST DIVISION                                           ,STAFF                                                  ,22,544
2552,POLICE OFFICER                     ,M,B ,50 - 59,55,2ND DIVISION                                           ,2ND PLATOON                                            ,20,545
2554,POLICE OFFICER                     ,M,W ,OVER 60,70,TRAINING                                               ,SKILLS TRAINING UNIT                                   ,48,546
2556,POLICE LIEUTENANT                  ,M,W ,OVER 60,74,FORMER EMPLOYEE                                        ,,122,547
2562,POLICE OFFICER                     ,M,W ,40 - 49,47,1ST DIVISION                                           ,3RD PLATOON                                            ,23,548
2563,POLICE OFFICER                     ,M,W ,50 - 59,51,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,18,549
2564,POLICE MAJOR                       ,M,W ,40 - 49,47,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,21,550
2569,POLICE OFFICER                     ,M,W ,50 - 59,53,2ND DIVISION                                           ,1ST PLATOON                                            ,19,551
2570,POLICE OFFICER                     ,M,W ,OVER 60,73,FORMER EMPLOYEE                                        ,,122,552
2571,POLICE SERGEANT                    ,M,A ,50 - 59,54,2ND DIVISION                                           ,2ND PLATOON                                            ,18,553
2572,POLICE OFFICER                     ,M,W ,40 - 49,47,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,18,554
2577,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS HOMICIDE                                           ,SQUAD 2                                                ,20,555
2581,POLICE OFFICER                     ,M,W ,40 - 49,49,FORMER EMPLOYEE                                        ,,18,556
2582,POLICE OFFICER                     ,M,W ,OVER 60,64,4TH DIVISION                                           ,1ST PLATOON                                            ,21,557
2583,POLICE OFFICER                     ,F,W ,40 - 49,44,7TH DIVISION                                           ,1ST PLATOON                                            ,20,558
2585,POLICE SERGEANT                    ,M,W ,40 - 49,48,8TH DIVISION                                           ,1ST PLATOON                                            ,21,559
2586,POLICE MAJOR                       ,M,W ,40 - 49,47,5TH DIVISION                                           ,STAFF                                                  ,21,560
2591,POLICE OFFICER                     ,M,B ,OVER 60,62,9TH DIVISION                                           ,STAFF                                                  ,21,561
2592,POLICE LIEUTENANT                  ,M,W ,OVER 60,77,FORMER EMPLOYEE                                        ,,122,562
2594,POLICE OFFICER                     ,M,W ,40 - 49,48,FORMER EMPLOYEE                                        ,,19,563
2596,POLICE OFFICER                     ,F,W ,50 - 59,55,FORMER EMPLOYEE                                        ,,24,564
2597,POLICE OFFICER                     ,F,W ,50 - 59,52,RECORDS MANAGEMENT                                     ,STAFF                                                  ,18,565
2600,POLICE OFFICER                     ,F,W ,40 - 49,43,3RD DIVISION                                           ,1ST PLATOON                                            ,18,566
2602,POLICE OFFICER                     ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,122,567
2607,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,CIS HOMICIDE                                           ,STAFF                                                  ,20,568
2614,POLICE MAJOR                       ,M,W ,40 - 49,47,4TH DIVISION                                           ,STAFF                                                  ,23,569
2616,POLICE LIEUTENANT                  ,M,B ,50 - 59,50,6TH DIVISION                                           ,STAFF                                                  ,24,570
2621,POLICE OFFICER                     ,M,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,18,571
2623,POLICE OFFICER                     ,F,W ,50 - 59,51,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,15,572
2627,POLICE MAJOR                       ,M,W ,OVER 60,68,NARCOTICS                                              ,STAFF                                                  ,45,573
2628,POLICE SERGEANT                    ,M,B ,OVER 60,73,FORMER EMPLOYEE                                        ,,122,574
2630,POLICE LIEUTENANT                  ,M,W ,OVER 60,71,FORMER EMPLOYEE                                        ,,45,575
2635,POLICE OFFICER                     ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,122,576
2644,POLICE OFFICER                     ,M,W ,OVER 60,75,FORMER EMPLOYEE                                        ,,122,577
2648,POLICE LIEUTENANT                  ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,122,578
2650,POLICE OFFICER                     ,M,W ,50 - 59,53,NARCOTICS                                              ,SCRIPT TEAM                                            ,20,579
2651,POLICE OFFICER                     ,M,B ,OVER 60,78,FORMER EMPLOYEE                                        ,,122,580
2880,POLICE SERGEANT                    ,F,W ,50 - 59,58,CHIEF`S STAFF                                          ,STAFF                                                  ,28,581
2768,POLICE OFFICER                     ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,31,582
2935,DEPUTY POLICE CHIEF                ,M,W ,50 - 59,52,CHIEF`S STAFF                                          ,STAFF                                                  ,27,583
2991,POLICE OFFICER                     ,F,W ,OVER 60,74,FORMER EMPLOYEE                                        ,,26,584
2830,POLICE SERGEANT                    ,M,W ,OVER 60,71,FORMER EMPLOYEE                                        ,,30,585
2881,ASST POLICE CHIEF-LT COLONEL       ,M,B ,50 - 59,51,SUPPORT BUREAU                                         ,STAFF                                                  ,28,586
2769,POLICE SERGEANT                    ,M,B ,50 - 59,59,NARCOTICS                                              ,SQUAD 2                                                ,31,587
2993,POLICE OFFICER                     ,M,W ,50 - 59,53,1ST DIVISION                                           ,BIKE PLATOON                                           ,26,588
2994,POLICE OFFICER                     ,M,B ,OVER 60,64,FORMER EMPLOYEE                                        ,,26,589
2995,POLICE SERGEANT                    ,M,W ,50 - 59,58,8TH DIVISION                                           ,FLEX PLATOON                                           ,26,590
2996,POLICE OFFICER                     ,F,W ,50 - 59,53,2ND DIVISION                                           ,1ST PLATOON                                            ,25,591
2997,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,CIS ROBBERY                                            ,STAFF                                                  ,25,592
2998,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,TRAFFIC                                                ,STAFF                                                  ,25,593
2999,POLICE OFFICER                     ,F,W ,50 - 59,53,1ST DIVISION                                           ,1ST PLATOON                                            ,25,594
6002,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,STRATEGIC PLANNING                                     ,STAFF                                                  ,22,595
6006,POLICE SERGEANT                    ,M,W ,50 - 59,51,8TH DIVISION                                           ,2ND PLATOON                                            ,25,596
6008,POLICE OFFICER                     ,M,W ,50 - 59,50,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,24,597
6009,POLICE OFFICER                     ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,40,598
6010,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,1ST PLATOON                                            ,23,599
6013,POLICE OFFICER                     ,M,W ,40 - 49,47,AIR PATROL                                             ,STAFF                                                  ,25,600
6016,POLICE OFFICER                     ,M,B ,OVER 60,73,FORMER EMPLOYEE                                        ,,37,601
6018,POLICE SERGEANT                    ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,41,602
6028,POLICE OFFICER                     ,M,W ,50 - 59,50,7TH DIVISION                                           ,2ND PLATOON                                            ,5,603
6030,POLICE OFFICER                     ,M,H ,50 - 59,56,6TH DIVISION                                           ,1ST PLATOON                                            ,19,604
6033,POLICE OFFICER                     ,F,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,34,605
6039,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,28,606
6041,POLICE SERGEANT                    ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,40,607
6044,POLICE OFFICER                     ,M,B ,OVER 60,64,3RD DIVISION                                           ,1ST PLATOON                                            ,16,608
6045,POLICE LIEUTENANT                  ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,40,609
6046,POLICE MAJOR                       ,M,B ,40 - 49,46,6TH DIVISION                                           ,STAFF                                                  ,22,610
6050,POLICE OFFICER                     ,M,B ,OVER 60,67,FORMER EMPLOYEE                                        ,,35,611
6052,POLICE SERGEANT                    ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,612
6054,POLICE OFFICER                     ,M,B ,OVER 60,75,7TH DIVISION                                           ,DETECTIVES                                             ,35,613
6056,POLICE OFFICER                     ,M,B ,50 - 59,57,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,32,614
6060,POLICE OFFICER                     ,M,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,16,615
6061,POLICE OFFICER                     ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,43,616
6067,POLICE OFFICER                     ,M,W ,50 - 59,50,6TH DIVISION                                           ,1ST PLATOON                                            ,25,617
6069,POLICE OFFICER                     ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,33,618
6072,POLICE OFFICER                     ,M,W ,OVER 60,61,9TH DIVISION                                           ,SQUAD 2                                                ,35,619
6074,POLICE SERGEANT                    ,M,W ,50 - 59,55,PUBLIC INFORMATION OFFICE                              ,STAFF                                                  ,27,620
6075,POLICE OFFICER                     ,M,W ,OVER 60,67,3RD DIVISION                                           ,1ST PLATOON                                            ,16,621
6077,POLICE SERGEANT                    ,M,W ,50 - 59,57,TECHNICAL SERVICES                                     ,VIDEO RECORDS UNIT                                     ,27,622
6082,POLICE SERGEANT                    ,M,W ,OVER 60,72,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,37,623
6083,POLICE OFFICER                     ,F,B ,OVER 60,61,FORMER EMPLOYEE                                        ,,37,624
6085,POLICE OFFICER                     ,M,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,37,625
6087,POLICE OFFICER                     ,M,B ,50 - 59,59,FORMER EMPLOYEE                                        ,,37,626
6089,POLICE OFFICER                     ,M,B ,OVER 60,74,FORMER EMPLOYEE                                        ,,37,627
6090,POLICE SERGEANT                    ,M,B ,50 - 59,57,CIS FORENSIC INVESTIGATIONS                            ,CSU STAFF                                              ,30,628
6094,POLICE LIEUTENANT                  ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,40,629
6097,POLICE OFFICER                     ,M,W ,50 - 59,56,6TH DIVISION                                           ,2ND PLATOON                                            ,28,630
6100,POLICE OFFICER                     ,M,B ,50 - 59,51,6TH DIVISION                                           ,1ST PLATOON                                            ,27,631
2936,POLICE OFFICER                     ,M,W ,50 - 59,59,3RD DIVISION                                           ,1ST PLATOON                                            ,27,632
2770,POLICE OFFICER                     ,M,W ,50 - 59,55,2ND DIVISION                                           ,2ND PLATOON                                            ,31,633
2937,POLICE OFFICER                     ,M,B ,OVER 60,65,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,27,634
2882,POLICE SERGEANT                    ,M,W ,50 - 59,53,7TH DIVISION                                           ,1ST PLATOON                                            ,28,635
2831,POLICE OFFICER                     ,F,W ,50 - 59,53,CIS HOMICIDE                                           ,3RD PLATOON                                            ,30,636
2939,POLICE OFFICER                     ,M,B ,50 - 59,58,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,27,637
2771,POLICE SERGEANT                    ,M,W ,50 - 59,58,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,31,638
2883,POLICE SERGEANT                    ,M,W ,50 - 59,55,6TH DIVISION                                           ,1ST PLATOON                                            ,28,639
2940,POLICE OFFICER                     ,M,W ,40 - 49,42,FOCUSED INTELLIGENCE UNIT                              ,FEDERAL TASK FORCES                                    ,19,640
2832,DEPUTY POLICE CHIEF                ,F,B ,50 - 59,54,CHIEF`S STAFF                                          ,STAFF                                                  ,30,641
2772,POLICE OFFICER                     ,F,W ,OVER 60,60,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,31,642
2884,POLICE OFFICER                     ,M,W ,OVER 60,72,FORMER EMPLOYEE                                        ,,28,643
2941,POLICE OFFICER                     ,M,B ,50 - 59,54,7TH DIVISION                                           ,1ST PLATOON                                            ,27,644
2885,POLICE OFFICER                     ,M,W ,50 - 59,53,1ST DIVISION                                           ,BIKE PLATOON                                           ,28,645
2833,POLICE LIEUTENANT                  ,F,W ,50 - 59,55,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,30,646
2773,POLICE OFFICER                     ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,31,647
2942,POLICE OFFICER                     ,M,W ,50 - 59,53,NARCOTICS                                              ,SCRIPT TEAM                                            ,27,648
2886,POLICE OFFICER                     ,M,B ,50 - 59,55,8TH DIVISION                                           ,2ND PLATOON                                            ,28,649
2835,POLICE OFFICER                     ,M,W ,OVER 60,60,RIVER PATROL                                           ,STAFF                                                  ,30,650
2774,POLICE OFFICER                     ,M,W ,OVER 60,65,3RD DIVISION                                           ,DETECTIVES                                             ,31,651
2943,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,2ND PLATOON                                            ,27,652
2887,POLICE OFFICER                     ,M,W ,OVER 60,67,TRAFFIC                                                ,2ND PLATOON                                            ,28,653
2836,POLICE OFFICER                     ,M,W ,50 - 59,54,CANINE UNIT                                            ,2ND PLATOON                                            ,22,654
2775,POLICE OFFICER                     ,M,W ,50 - 59,59,7TH DIVISION                                           ,2ND PLATOON                                            ,5,655
2944,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,27,656
2888,POLICE OFFICER                     ,M,W ,50 - 59,52,FORMER EMPLOYEE                                        ,,28,657
2837,POLICE SERGEANT                    ,M,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,30,658
2776,POLICE OFFICER                     ,M,W ,OVER 60,65,1ST DIVISION                                           ,2ND PLATOON                                            ,31,659
2945,POLICE LIEUTENANT                  ,M,W ,50 - 59,50,4TH DIVISION                                           ,STAFF                                                  ,27,660
2890,POLICE SERGEANT                    ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,28,661
2838,POLICE OFFICER                     ,M,W ,50 - 59,52,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,29,662
2839,POLICE OFFICER                     ,M,W ,50 - 59,56,2ND DIVISION                                           ,DETECTIVES                                             ,29,663
2840,POLICE LIEUTENANT                  ,F,W ,50 - 59,58,CIS SPECIAL VICTIMS                                    ,STAFF                                                  ,29,664
2841,POLICE OFFICER                     ,F,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,29,665
2842,POLICE OFFICER                     ,F,W ,OVER 60,64,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,29,666
2843,POLICE LIEUTENANT                  ,M,B ,50 - 59,51,2ND DIVISION                                           ,1ST PLATOON                                            ,29,667
2844,POLICE SERGEANT                    ,M,B ,50 - 59,54,7TH DIVISION                                           ,2ND PLATOON                                            ,29,668
2845,POLICE OFFICER                     ,M,B ,50 - 59,57,2ND DIVISION                                           ,2ND PLATOON                                            ,29,669
2846,POLICE SERGEANT                    ,M,W ,50 - 59,53,FORMER EMPLOYEE                                        ,,29,670
2847,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,6TH DIVISION                                           ,STAFF                                                  ,29,671
2849,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,29,672
2850,POLICE OFFICER                     ,M,W ,OVER 60,65,6TH DIVISION                                           ,2ND PLATOON                                            ,29,673
2851,POLICE SERGEANT                    ,M,W ,40 - 49,48,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,21,674
2852,POLICE OFFICER                     ,M,B ,OVER 60,65,2ND DIVISION                                           ,2ND PLATOON                                            ,29,675
2853,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,BIKE PLATOON                                           ,29,676
2854,POLICE OFFICER                     ,M,B ,OVER 60,63,1ST DIVISION                                           ,1ST PLATOON                                            ,29,677
2855,POLICE OFFICER                     ,M,W ,50 - 59,58,1ST DIVISION                                           ,1ST PLATOON                                            ,29,678
2856,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,3RD DIVISION                                           ,3RD PLATOON                                            ,29,679
2858,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,29,680
2859,POLICE OFFICER                     ,M,W ,50 - 59,53,2ND DIVISION                                           ,2ND PLATOON                                            ,29,681
2861,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,29,682
2862,POLICE OFFICER                     ,F,W ,OVER 60,66,7TH DIVISION                                           ,3RD PLATOON                                            ,29,683
2863,POLICE OFFICER                     ,M,W ,50 - 59,51,6TH DIVISION                                           ,DETECTIVES                                             ,29,684
2864,POLICE LIEUTENANT                  ,M,W ,50 - 59,56,CRIMES AGAINST CHILDREN                                ,STAFF                                                  ,29,685
2865,POLICE OFFICER                     ,M,W ,50 - 59,54,FORMER EMPLOYEE                                        ,,29,686
2866,POLICE OFFICER                     ,M,W ,50 - 59,57,6TH DIVISION                                           ,2ND PLATOON                                            ,29,687
2867,POLICE MAJOR                       ,M,W ,50 - 59,53,TRAINING                                               ,STAFF                                                  ,29,688
2868,POLICE OFFICER                     ,F,W ,OVER 60,61,7TH DIVISION                                           ,1ST PLATOON                                            ,29,689
2869,POLICE OFFICER                     ,M,W ,50 - 59,58,7TH DIVISION                                           ,3RD PLATOON                                            ,29,690
2870,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,3RD PLATOON                                            ,29,691
2872,POLICE SERGEANT                    ,M,W ,40 - 49,48,8TH DIVISION                                           ,DETECTIVES                                             ,21,692
2873,POLICE OFFICER                     ,F,B ,50 - 59,56,1ST DIVISION                                           ,2ND PLATOON                                            ,29,693
2874,POLICE OFFICER                     ,M,W ,50 - 59,58,4TH DIVISION                                           ,2ND PLATOON                                            ,29,694
2777,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,31,695
2778,POLICE OFFICER                     ,F,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,31,696
2780,POLICE OFFICER                     ,M,W ,OVER 60,65,5TH DIVISION                                           ,2ND PLATOON                                            ,31,697
2781,POLICE OFFICER                     ,M,W ,OVER 60,60,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,30,698
2782,POLICE SERGEANT                    ,M,W ,50 - 59,52,8TH DIVISION                                           ,2ND PLATOON                                            ,30,699
2783,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,30,700
2784,POLICE LIEUTENANT                  ,F,W ,OVER 60,64,FORMER EMPLOYEE                                        ,,30,701
2785,POLICE LIEUTENANT                  ,M,W ,OVER 60,62,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,30,702
2786,POLICE OFFICER                     ,M,W ,50 - 59,53,1ST DIVISION                                           ,2ND PLATOON                                            ,30,703
2788,POLICE SERGEANT                    ,M,W ,50 - 59,54,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,30,704
2790,POLICE OFFICER                     ,M,W ,50 - 59,53,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,30,705
2791,POLICE OFFICER                     ,M,W ,50 - 59,58,7TH DIVISION                                           ,DETECTIVES                                             ,22,706
2793,POLICE OFFICER                     ,M,W ,OVER 60,67,5TH DIVISION                                           ,2ND PLATOON                                            ,30,707
2794,POLICE OFFICER                     ,M,W ,OVER 60,60,6TH DIVISION                                           ,2ND PLATOON                                            ,30,708
2796,POLICE OFFICER                     ,M,B ,50 - 59,55,6TH DIVISION                                           ,1ST PLATOON                                            ,30,709
2797,POLICE OFFICER                     ,M,W ,50 - 59,55,CIS FORENSIC INVESTIGATIONS                            ,COMPUTER FORENSICS                                     ,30,710
2798,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,2ND PLATOON                                            ,30,711
2800,POLICE OFFICER                     ,M,W ,50 - 59,55,6TH DIVISION                                           ,2ND PLATOON                                            ,30,712
2801,POLICE OFFICER                     ,M,B ,50 - 59,56,7TH DIVISION                                           ,2ND PLATOON                                            ,30,713
2802,POLICE OFFICER                     ,M,W ,50 - 59,54,6TH DIVISION                                           ,2ND PLATOON                                            ,30,714
2803,POLICE OFFICER                     ,M,W ,40 - 49,44,CANINE UNIT                                            ,2ND PLATOON                                            ,20,715
2804,POLICE OFFICER                     ,M,W ,50 - 59,59,8TH DIVISION                                           ,2ND PLATOON                                            ,30,716
2805,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,30,717
2806,POLICE OFFICER                     ,F,W ,OVER 60,66,FORMER EMPLOYEE                                        ,,30,718
2807,POLICE OFFICER                     ,F,W ,50 - 59,52,CRIMES AGAINST CHILDREN                                ,CRIMES AGAINST CHILDREN                                ,30,719
2808,POLICE OFFICER                     ,F,W ,50 - 59,55,5TH DIVISION                                           ,1ST PLATOON                                            ,30,720
2809,POLICE SERGEANT                    ,M,W ,50 - 59,56,FORMER EMPLOYEE                                        ,,30,721
